user_id,num_transactions,total_loyalty_points,total_net_value,days_since_last,pca1,pca2,cluster
USER_00001,1,581,5757.17,81,-0.11312364701563253,0.46115376340017766,0
USER_00002,1,93,1768.09,289,-1.6163886865406234,-1.2440122843266785,2
USER_00019,2,1102,2669.34,153,1.6354214901133985,-0.9517949568293426,1
USER_00020,1,46,3634.29,255,-1.5554195945268263,-0.5021547828120138,2
USER_00025,1,241,8220.07,67,-0.5628475026176644,1.4339727691003339,0
USER_00026,1,34,4550.8,333,-1.8478303456429803,-0.2831778186140107,2
USER_00028,4,2122,3804.4449999999997,26,6.109547337461281,-0.686013876905371,1
USER_00032,2,387,4598.165,261,0.1798123052629493,-0.3049317077192819,2
USER_00033,1,333,4615.93,123,-0.6441370362088787,0.01573173586234949,2
USER_00037,1,746,5257.1,354,-0.8442853161830572,-0.16045118864201768,2
USER_00038,1,988,6925.74,127,0.34297557853357674,0.75977922144968,0
USER_00041,1,171,1193.96,8,-0.49559078094161346,-1.0391325240262335,2
USER_00042,1,553,2051.58,120,-0.31525546440082985,-0.9508991437183761,2
USER_00043,1,527,275.99,145,-0.4537101144284404,-1.6352487003679543,2
USER_00048,1,299,423.83,98,-0.6288163006256998,-1.4764564878520592,2
USER_00050,1,427,4381.04,199,-0.7756419700098646,-0.19937490534173283,2
USER_00051,3,1318,5010.84,252,2.8564545946433797,-0.37299566786581145,1
USER_00052,1,923,3283.78,219,-0.10444385867939757,-0.7040129483786942,2
USER_00056,1,357,3522.39,346,-1.4123651271446194,-0.7266998331338868,2
USER_00058,1,207,6022.64,361,-1.6788876322600876,0.18801557798288274,0
USER_00059,1,769,7940.52,18,0.4081886704796693,1.3288276840856572,0
USER_00060,1,521,6300.9,48,-0.08257502555751149,0.7191184374905994,0
USER_00061,2,993,4344.775,68,1.7843657221568576,-0.1933234413999131,1
USER_00062,1,552,1365.24,205,-0.6248681822331329,-1.3311012349294333,2
USER_00063,2,932,5861.42,53,1.7542593815675744,0.39373714019198647,1
USER_00064,2,378,5266.665,8,1.0757877548890982,0.3251985707424904,1
USER_00065,2,884,6390.67,58,1.666778671489556,0.5869674159882152,1
USER_00066,1,727,7172.25,315,-0.7228748995545314,0.6028291836886257,0
USER_00067,1,571,2402.28,179,-0.4974293120679432,-0.914660183819979,2
USER_00069,2,1187,6309.1,54,2.138087240835964,0.5188941723395729,1
USER_00072,1,198,1988.77,325,-1.5855742998555693,-1.2331870954949955,2
USER_00073,1,677,7085.82,139,-0.16862766132348736,0.8456281162484348,0
USER_00074,1,771,1796.55,199,-0.27041296330910436,-1.196053384250202,2
USER_00080,2,945,468.16999999999996,2,1.9270805573001843,-1.5057029447728565,1
USER_00081,1,426,7869.96,126,-0.4967289491957765,1.1891803416773403,0
USER_00085,1,156,5185.07,321,-1.617222042811046,-0.0505273092980207,2
USER_00086,1,201,7276.45,166,-0.9828706314774588,0.9440061871864869,0
USER_00088,1,234,4339.77,224,-1.156751255461074,-0.22423263211977856,2
USER_00091,1,840,8007.96,23,0.49783982186072273,1.3355596446971372,0
USER_00096,1,820,3626.19,64,0.2969354525174926,-0.3283079124112711,2
USER_00098,1,140,5718.84,281,-1.4952372997215775,0.207985795486468,0
USER_00099,2,584,2924.8999999999996,42,1.252262389037251,-0.6140390126864739,1
USER_00102,1,216,8759.26,17,-0.4186132948319421,1.7109642670723597,0
USER_00103,1,235,6275.28,263,-1.2843305427371716,0.42518817774960516,0
USER_00106,1,585,338.04,36,0.024485131634704692,-1.4555553528228422,2
USER_00107,2,1496,4428.25,33,2.669510643398462,-0.18312957075964495,1
USER_00108,1,291,5465.38,341,-1.4835010817001273,0.0020358273689995267,0
USER_00110,1,709,665.52,323,-0.8141885787437525,-1.789379269681344,2
USER_00111,3,899,4175.436666666667,124,2.677673710099206,-0.4234013756981212,1
USER_00112,2,1145,4184.84,123,1.8160252640425558,-0.35758238369099665,1
USER_00113,2,711,4364.68,58,1.3945536245337624,-0.1296498222904556,1
USER_00115,1,644,3458.63,168,-0.3420732205475966,-0.5218063758513743,2
USER_00117,1,710,5310.46,229,-0.45075556243093384,0.0540810208424609,0
USER_00119,1,323,4271.7,213,-0.9833740817713936,-0.24546748062317994,2
USER_00123,2,606,5066.705,60,1.2327061526850185,0.1397312851632743,1
USER_00124,1,603,639.8,253,-0.7237055043827574,-1.6770589433890957,2
USER_00126,3,1509,5104.566666666667,5,4.029744991780359,0.008327397679385683,1
USER_00129,1,530,1722.49,347,-1.1645908890348389,-1.4126009467312053,2
USER_00130,1,477,6134.09,314,-1.102375447065543,0.26071401031823527,0
USER_00131,1,145,3431.67,269,-1.4571970394690543,-0.6120680261652605,2
USER_00132,2,536,4926.565,165,0.7502916390074316,-0.060732922226792344,1
USER_00133,1,567,1790.98,287,-0.8935176930814565,-1.3018557442974652,2
USER_00136,2,934,3196.245,164,1.345283124240169,-0.7509960377657903,1
USER_00138,1,264,7257.67,259,-1.2208683538997738,0.7867629376727798,0
USER_00141,2,1132,5982.200000000001,190,1.566297496327322,0.20079508015871528,1
USER_00142,1,37,8800.8,102,-0.9929771446230805,1.6233136397178127,0
USER_00143,1,916,943.44,228,-0.16000430511839564,-1.5736585878259024,2
USER_00149,1,384,9458.39,232,-0.9310240326245346,1.616090967562172,0
USER_00150,3,2030,1689.8999999999999,92,4.486136961101716,-1.4502698501761404,1
USER_00153,1,921,8272.62,193,0.01284883913113851,1.1626040466751588,0
USER_00160,3,1550,3121.5866666666666,46,3.9340159682036004,-0.7860419729739826,1
USER_00161,1,844,6482.89,174,-0.045125655495275446,0.5473143926604308,0
USER_00163,1,119,6509.48,190,-1.1967842518912721,0.6387032374857036,0
USER_00164,2,1104,5506.67,47,2.033472062134924,0.24780580040364417,1
USER_00170,2,1081,4995.015,69,1.917183241716604,0.03041109228120704,1
USER_00173,1,147,2408.2,300,-1.570762239730046,-1.0341977026841243,2
USER_00176,1,786,6704.67,189,-0.18518728030703083,0.6142350513010773,0
USER_00178,1,558,6756.66,94,-0.1889429616565724,0.81078509193937,0
USER_00179,3,1415,805.42,101,3.5206373400378714,-1.697953507309834,1
USER_00185,3,1978,6448.216666666667,85,4.458655332407041,0.3103987116217336,1
USER_00186,2,1011,4934.375,253,1.1523274870565856,-0.26085167482615534,1
USER_00190,1,113,846.45,82,-0.8500188749477274,-1.2702333494464004,2
USER_00192,1,321,2670.85,231,-1.0595785261815316,-0.8587110024803262,2
USER_00194,1,876,6339.71,186,-0.04056552072094419,0.4719932532123977,0
USER_00196,1,495,1842.89,241,-0.8372189681327185,-1.2025047813098886,2
USER_00199,1,800,4103.64,111,0.10105381025345078,-0.22188758081676563,2
USER_00202,2,702,1348.42,171,0.9598944221413287,-1.4043750012459204,1
USER_00205,1,907,1530.29,73,0.3846176287095097,-1.1221775594488155,2
USER_00206,1,4,418.38,42,-0.8736804772587342,-1.3503466582277386,2
USER_00207,1,982,3678.42,291,-0.2710304807239753,-0.6774067038607547,2
USER_00210,1,540,4797.69,35,-0.015542178001124764,0.18561465006197267,0
USER_00219,1,904,7404.91,120,0.24384181646893568,0.9581453496694308,0
USER_00225,1,666,1679.32,214,-0.4832784823031055,-1.2464069293406284,2
USER_00226,1,699,4615.24,95,0.00865877697600128,0.004498827483888771,2
USER_00228,1,35,2985.84,104,-1.0348783098843286,-0.5088067452252323,2
USER_00233,1,504,2407.96,266,-0.9100668533552421,-1.0348436031507022,2
USER_00238,1,797,9091.53,326,-0.646115860114437,1.2787243719617039,0
USER_00239,2,701,5865.639999999999,9,1.56309865006542,0.4958220206010577,1
USER_00240,1,135,117.72,222,-1.3220785919266538,-1.752801065701093,2
USER_00242,1,348,2105.65,340,-1.412196282368887,-1.2350728300382472,2
USER_00243,1,15,3731.93,68,-0.9320968377306532,-0.17803124036719198,2
USER_00245,1,480,4620.39,283,-0.9951020698820382,-0.2469717648209553,2
USER_00246,1,407,4267.59,335,-1.2934288156664346,-0.44442508988249085,2
USER_00249,1,294,6917.51,307,-1.3493071066995406,0.5849592308793262,0
USER_00253,1,122,5698.77,169,-1.1214830363735977,0.37326641350944884,0
USER_00257,2,1209,1658.2849999999999,336,1.136173968376495,-1.6154351768983715,1
USER_00258,1,694,1269.36,58,0.11534445879615919,-1.163835804044975,2
USER_00265,1,320,7874.68,356,-1.4802883486031584,0.8572906904305828,0
USER_00276,1,475,3452.24,192,-0.6831794028950852,-0.5358804578382599,2
USER_00277,1,263,409.47,281,-1.3385100410756359,-1.7542222583780254,2
USER_00278,1,921,2659.74,178,0.035941175329663254,-0.8700054677881381,2
USER_00282,1,475,9424.4,230,-0.7866678643705727,1.5933829099191523,0
USER_00283,1,376,6017.49,140,-0.6324474701299335,0.49688145534066125,0
USER_00286,1,718,7109.31,267,-0.5649319236634822,0.6539533930913555,0
USER_00287,1,123,1908.91,315,-1.663428416356416,-1.2362933660463655,2
USER_00290,1,940,4655.74,32,0.5982945523917175,0.07973931709351903,0
USER_00293,1,221,184.47,210,-1.1489143014900025,-1.7227100363564758,2
USER_00294,2,506,4955.474999999999,3,1.2852317712656494,0.20012990094109664,1
USER_00295,2,1171,3597.08,126,1.8413284494372408,-0.5811665937957317,1
USER_00296,2,753,2312.5299999999997,140,1.1531484550033952,-1.0117267307148132,1
USER_00301,1,583,5880.26,352,-1.0798012157294161,0.09459681787011813,0
USER_00304,1,354,7733.56,134,-0.6348149837265499,1.137609951128929,0
USER_00306,1,9,5210.67,329,-1.8676498056553623,-0.03181595321049009,2
USER_00308,1,130,2680.95,224,-1.3228060024941573,-0.8164784292703005,2
USER_00309,1,420,3731.62,191,-0.7611066828912024,-0.4240199549512541,2
USER_00314,1,157,5857.41,328,-1.6371096416204336,0.18490538275738727,0
